id,text,label
57,[CLS] The great news is that <e1>germs</e1> causing recreational water <e2>illnesses</e2> are killed by chlorine [SEP],8
58,[CLS] This is more of a production <e1>machine</e1> stitching 600 <e2>stitches</e2> per minute [SEP],15
59,[CLS] The EU inserted <e1>experts</e1> into the national <e2>defence</e2> [SEP],0
60,[CLS] The <e1>shop</e1> machined the part with a 1.25 inch <e2>diameter</e2> [SEP],0
61,[CLS] We store the <e1>tops</e1> for the containers in a shallow <e2>drawer</e2> to reduce the clutter [SEP],11
62,[CLS] The government has poured <e1>billions</e1> into education <e2>reforms</e2> [SEP],9
63,[CLS] The campaign's leaders were right to accept the arms <e1>manufacturer</e1>'s <e2>pledge</e2> [SEP],15
64,[CLS] The popular <e1>definition</e1> is rooted in an editorial <e2>error</e2> [SEP],17
65,"[CLS] By chance, Toe discovers a rainbow-coloured <e1>rock</e1> with hidden <e2>power</e2> to grant wishes [SEP]",0
66,[CLS] That <e1>container</e1> was put inside a <e2>vault</e2> provided by Stark Memorial Funeral Home [SEP],9
67,"[CLS] The turbines are making an electricity <e1>system</e1> with low <e2>carbon</e2> emissions even greener - already, in Seattle, more than 90 percent of the power comes from renewable sources [SEP]",0
68,[CLS] Amendment 4 removed the <e1>subsection</e1> which applies the <e2>measure</e2> to partner authorities of local authorities [SEP],3
69,[CLS] This <e1>oven</e1> has a meat <e2>probe</e2> so I tried it in the lasagna at a set temperature of 165 degrees [SEP],1
70,"[CLS] <e1>Rum</e1> is distilled from fermented sugarcane <e2>juice</e2>, fermented sugarcane syrup or fermented molasses [SEP]",17
71,"[CLS] I am grateful to a former editor of Cogito for permission to reproduce <e1>material</e1> from my <e2>article</e2> 'An introduction to infinity', 1992 [SEP]",17
72,[CLS] In the process of engagement the two <e1>blades</e1> of the <e2>scissors</e2> engage a piece of tissue to cut [SEP],2
73,[CLS] A handpicked <e1>regiment</e1> of 100 <e2>marksmen</e2> under General William Maxwell laid an ambush in the surrounding cover [SEP],6
74,"[CLS] The <e1>picture</e1> <e2>frame</e2> hangs on the wall in my living room, reminding me that I'm the only child of three to be born and live to my parents [SEP]",11
75,"[CLS] Today, for the first time in the UK, full examination <e1>papers</e1> in <e2>chemistry</e2> and mathematics set for 16-year-old school pupils in the People's Republic of China are to be published in English and made widely available [SEP]",13
76,[CLS] The <e1>disruption</e1> has been caused by a sensitivity reaction in the brain to an ingested <e2>substance</e2> [SEP],7
77,"[CLS] The enormous <e1>landslide</e1>, which was triggered by an exceptionally heavy <e2>rainfall</e2> event (500 mm in 24 h) on 30 October 1998 [SEP]",7
78,"[CLS] Most <e1>dieters</e1> are familiar with the usual weight loss <e2>formula</e2>: proper diet, adequate exercise, and a healthier lifestyle [SEP]",3
79,"[CLS] In the evening, he threw <e1>wood</e1> into the <e2>bonfire</e2> [SEP]",9
80,"[CLS] In the framework of a holistic approach to student development and support, Student Services are also the contact point for other functions such as student out-of-class involvement, <e1>student</e1> participation in the university <e2>governance</e2> as well as in the Student Union [SEP]",0
81,[CLS] His <e1>speech</e1> outlined urgent <e2>measures</e2> for stimulating the economy [SEP],13
82,[CLS] More than 20 years have passed since the last <e1>plane</e1> took off from the <e2>earth</e2> [SEP],17
83,"[CLS] The <e1>market</e1> is rooted in the <e2>structure</e2> of Zanzibar household economies, and therefore proides an indispensible function in daily life [SEP]",0
84,"[CLS] The <e1>ozone layer</e1> is a relatively small constitute part of the Earth's <e2>atmosphere</e2>, although it accounts for a large protection measure [SEP]",2
85,[CLS] Debt-to-income ratios are referred to as the <e1>guidelines</e1> that are used by mortgage <e2>lenders</e2> in order to determine your maximum mortgage amount [SEP],4
86,"[CLS] The <e1>officer</e1> swore an <e2>oath</e2> of secrecy on becoming a sky marshal, so his name can't be revealed [SEP]",15
87,[CLS] The <e1>wine</e1> was stored in a wine <e2>rack</e2> so the cork has been wet to prevent the wine from turning to vinegar [SEP],11
88,"[CLS] The <e1>list</e1> of passengers and crew, handed to the purser just before the steamer left Providence, was locked in a <e2>safe</e2>, and it was not recovered [SEP]",11
89,[CLS] The <e1>restaurant</e1> is advertised by the official municipal <e2>website</e2> [SEP],14
90,[CLS] This pecking order continues all the way down to the most subordinate <e1>wolf</e1> in the <e2>pack</e2> [SEP],5
91,[CLS] A <e1>rhumba</e1> of <e2>rattlesnakes</e2> plagued a village [SEP],6
92,[CLS] My <e1>point</e1> was coming from a welding <e2>background</e2> that good goggles are most definitely not hard to find [SEP],17
93,[CLS] The complete <e1>examination process</e1> has been carried out according to the pertinent <e2>directives</e2> [SEP],0
94,"[CLS] Even if an abstract theme is at the center of the poem, the <e1>poet</e1> still uses concrete <e2>imagery</e2> in order to make it more accessible [SEP]",3
95,[CLS] This <e1>leaflet</e1> gives a summary of holiday <e2>entitlements</e2> [SEP],13
96,[CLS] The heated <e1>gas</e1> caused a <e2>pyrolysis</e2> on the lower part of oil shale and produced shale oil and oil shale gas are escaped from the retort through exhaust pipe [SEP],8
97,[CLS] The signoff <e1>queue</e1> is used for <e2>reports</e2> that the user has not seen before [SEP],0
98,[CLS] We put the <e1>files</e1> into a date-based <e2>directory</e2> like YY/MM/DD [SEP],9
99,[CLS] The <e1>couple</e1> hailed from Tezpur <e2>town</e2> in northern Assam [SEP],17
100,"[CLS] In her dentist dad's office, with the help of her brother Norman she finds a <e1>bottle</e1> full of pulled <e2>teeth</e2> [SEP]",12
101,[CLS] My <e1>guns</e1> are locked in my <e2>room</e2> [SEP],11
102,"[CLS] Thus, aptitude provides no information about critical interactional processes that take place after the <e1>student</e1> has enrolled in the <e2>university</e2> [SEP]",5
103,[CLS] The <e1>scream</e1> was coming from his own <e2>chambers</e2>; he ran through them and drew to a halt at the doorway to Eirin's room [SEP],17
104,[CLS] The winner has received the years worth of beauty <e1>products</e1> in a <e2>hamper</e2> [SEP],11
105,"[CLS] He is also a work of fiction, a software <e1>program</e1> written by a <e2>bio-scientist</e2> from St Petersburg and a finalist in a contest to find the world's first thinking computer, staged yesterday at Reading University [SEP]",16
106,[CLS] It was a significant environmental hazard in the copper smelting process when the <e1>emissions</e1> were released into the <e2>atmosphere</e2> [SEP],9
107,[CLS] The tonneau <e1>cover</e1> retracts into a <e2>canister</e2> [SEP],9
108,[CLS] His reformation of many of the roman laws caused quite a bit of discomfort in the seats of power at the <e1>house</e1> of <e2>senators</e2> [SEP],6
109,[CLS] Parties have inherited <e1>entitlements</e1> to <e2>property</e2> [SEP],0
110,[CLS] The libel <e1>claimant</e1> has proved that the <e2>statement</e2> was defamatory [SEP],0
111,[CLS] The low oil <e1>prices</e1> caused the <e2>collapse</e2> of the wall and the Russian empire [SEP],8
112,"[CLS] By charging odd amounts like 49 or 99 cents, the <e1>cashier</e1> very probably opened the <e2>till</e2> [SEP]",0
113,[CLS] The cancer <e1>cells</e1> have increasingly been moving into the <e2>bone</e2> [SEP],9
114,"[CLS] This Christmas, <e1>visitors</e1> travelled to the <e2>vineyard</e2> by the free bus [SEP]",9
115,[CLS] <e1>Geodiversity</e1> has been added into the <e2>objective</e2> [SEP],9
116,[CLS] The <e1>pain</e1> was caused by the <e2>parasite</e2> entering the body through the skin during bathing or drinking of infested water [SEP],7
117,[CLS] One who lives in the area of the Ural Mountains has a possibility of observing a <e1>bevy</e1> of <e2>roebucks</e2> [SEP],6
118,[CLS] <e1>Washer</e1> works with a single cup of <e2>water</e2> [SEP],3
119,"[CLS] The <e1>reaction</e1> starts at a rather low <e2>temperature</e2> ( + 5C), and the calorimeter is run from 40 to 130C [SEP]",7
120,"[CLS] The <e1>accommodation</e1> briefly comprises of <e2>hall</e2>, downstairs w.c., lounge, kitchen, three bedrooms and bathroom [SEP]",1
121,"[CLS] Next to Moll lived the celebrated actress Nancy Dawson, a former <e1>harlot</e1> made famous by her lascivious <e2>hornpipe</e2> in Gay's phenomenally popular The Beggar'ss Opera [SEP]",0
122,[CLS] He has been a <e1>committee</e1> <e2>member</e2> for Gungarde in Cooktown [SEP],6
123,"[CLS] The <e1>paw</e1> of the <e2>cat</e2> thus appears to be more sensitive to temperature changes than was believed previously, and its temperature sensitivity may be comparable to that of the hand of the primate [SEP]",2
124,[CLS] On the Seleucid right flank Atticus deployed the elite companions screened by a single <e1>unit</e1> of Scythian horse <e2>archers</e2> [SEP],6
125,[CLS] A <e1>weapon</e1> was inside a <e2>wooden box</e2> behind a stereo cabinet that was suspended about seven feet above the floor [SEP],11
126,[CLS] While Jackson was in the White House he kept a <e1>stable</e1> of race <e2>horses</e2> -- perhaps the only president of the United States ever to run a racing stable [SEP],6
127,[CLS] <e1>Job listings</e1> in India have been added to our <e2>careers section</e2> [SEP],9
128,[CLS] The <e1>conference</e1> was a part of the Danish <e2>kortdage</e2> and was arranged by Geoforum in cooperation with GI Norden [SEP],2
129,[CLS] The left-turns are sequenced to correspond to the arrival of the group of <e1>cars</e1> from the upstream <e2>signal</e2> [SEP],17
130,[CLS] He atached a handle to the upper part of a <e1>cable</e1> <e2>machine</e2> [SEP],2
131,[CLS] But we are not at all complacent and we are well aware of the <e1>challenges</e1> around <e2>recruitment</e2> [SEP],0
132,[CLS] This is made possible by unscrewing the three or four screws from the <e1>button</e1> of the <e2>mouse</e2> [SEP],2
133,[CLS] The influential <e1>towns</e1> of Brownville and Fontanelle were founded that <e2>year</e2> as well [SEP],0
134,"[CLS] On the table, a potato <e1>slice</e1> was already placed in a <e2>beaker</e2> of distilled water [SEP]",11
135,[CLS] A chance <e1>discovery</e1> made by a road <e2>worker</e2> in 1956 uncovered a rich find of 360 million year old fish fossils [SEP],0
136,[CLS] The <e1>psychiatrist</e1> killed him with the <e2>drugs</e2> she gave him [SEP],3
137,[CLS] The user-friendly control device is mounted on the <e1>handgrip</e1> of the <e2>wheelchair</e2> [SEP],2
138,[CLS] The <e1>restaurant</e1> creates dishes using farm fresh products and organic <e2>products</e2> found from local farms like Meadow Mountains and Haystack [SEP],3
139,[CLS] I conducted a training seminar on energy efficiency best <e1>practices</e1> for <e2>engineers</e2> at the Pune Municipal Corporation [SEP],4
140,[CLS] This <e1>poster</e1> advertises the 1898 <e2>exhibition</e2> of the shroud [SEP],13
141,"[CLS] The <e1>alcohol</e1> was distilled from a <e2>steam bath</e2>, and the lactone was separated from the sodium bromide by extraction with ether [SEP]",17
142,[CLS] The <e1>survey</e1> documents children's <e2>opinions</e2> on a wide range of social issues [SEP],13
143,[CLS] My grandmother came here when she was 17 years old with nothing but a <e1>suitcase</e1> full of <e2>oranges</e2> [SEP],12
144,"[CLS] Each <e1>sample</e1> of the felt was enclosed in a separate glass <e2>vial</e2> with blanks of polished lead, silver and copper [SEP]",9
145,[CLS] The <e1>brothers</e1> wrote this <e2>movie</e2> after coming up with the characters [SEP],15
146,"[CLS] Elsewhere, you'll find a real embarrassment of riches, with <e1>song</e1> after brilliant hit song from the fertile imaginations of the great Brill Building <e2>writers</e2> [SEP]",16
147,"[CLS] When a murder of crows and a <e1>tittering</e1> of <e2>magpies</e2> get into a turf war over Susie Wu's eucalyptus, the real winner is Susie's cat, Mittens [SEP]",6
148,[CLS] The <e1>police</e1> <e2>report</e2> has cast a spotlight on America's self-help industry [SEP],15
149,[CLS] My <e1>flight</e1> arrived at the usual <e2>gate</e2> [SEP],9
150,"[CLS] The rising popularity of malted whiskies, especially single malt <e1>barley</e1> <e2>spirits</e2>, is evidenced in the growing number of distilleries and labels that have been cropping up over the past few years [SEP]",18
151,"[CLS] Towne Bank, which has only one retail location, was one of those opportunistic upstarts, a <e1>bank</e1> built on a <e2>bubble</e2> [SEP]",0
152,"[CLS] Meanwhile, General Wadsworth with a <e1>detachment</e1> of militia <e2>volunteers</e2> and Winfield Scott's regulars crossed the river to reinforce Captain Wool's position and take command [SEP]",6
153,[CLS] The <e1>helix</e1> runs away from the <e2>nucleotide</e2> [SEP],0
154,[CLS] I derive a tremendous amount of <e1>joy</e1> from <e2>teaching</e2> students in the research laboratory [SEP],7
155,"[CLS] Besides a <e1>galaxy</e1> of prominent <e2>footballers</e2>, his colleagues, sportspersons and people from all walks of life paid last respect to the departed footballer [SEP]",6
156,"[CLS] The study found that people who took the <e1>combination</e1> of cholinesterase <e2>inhibitors</e2> (Aricept, Razadyne, or Exelon) and Memantine, showed a significantly slower rate of cognitve decline than those who took only a cholinesterase inhibitor or no drug [SEP]",0
157,[CLS] Antelope <e1>horns</e1> grows from the Southern California desert <e2>mountains</e2> across to Arkansas and up into Kansas [SEP],0
158,[CLS] A very serious <e1>problem</e1> ensued from the <e2>events</e2> of the day [SEP],7
159,[CLS] The <e1>book</e1> contained not only recipes but also such things as <e2>coloring</e2> of textiles and other things concerning a household [SEP],13
160,[CLS] He sent the <e1>revellers</e1> into <e2>party mode</e2> [SEP],0
161,"[CLS] Trench pudding is made from broken biscuits, condensed milk, <e1>jam</e1> put into a <e2>canteen</e2> and cooked over a little spirit stove [SEP]",9
162,[CLS] A first <e1>revolution</e1> was triggered by the growing use of reading and <e2>writing</e2> [SEP],7
163,"[CLS] The pertinent <e1>passage</e1> describes the <e2>flag</e2> as a tricolor consisting of green, white and orange bands [SEP]",13
164,[CLS] A witness <e1>statement</e1> contains the witness's factual <e2>account</e2> of the circumstances of the dispute [SEP],2
165,[CLS] You shaped the <e1>bristles</e1> of the <e2>brush</e2> with clean lather still in it [SEP],2
166,[CLS] The extrusion blew the <e1>molding</e1> into <e2>paperboard</e2> [SEP],9
167,[CLS] The US regulatory <e1>agency</e1> was investigating <e2>allegations</e2> that at least one plane was considered unsafe to fly [SEP],0
168,[CLS] The resulting <e1>biofilm</e1> grows from the <e2>inside</e2> out rather than planktonic organisms attaching and promoting the growth from the outside [SEP],0
169,"[CLS] The <e1>vibration</e1> caused by a heavy goods <e2>train</e2> on the Metropolitan Railway, which runs under the Exhibition premises, had shaken the figure off its balance [SEP]",7
170,[CLS] The other <e1>offer</e1> was from an old-line investment counsel-mutual fund <e2>company</e2> in New York [SEP],16
171,[CLS] A similar image search <e1>feature</e1> has been added to the <e2>software</e2> [SEP],9
172,[CLS] It also gives some of the history behind the <e1>formation</e1> of Wolf's <e2>dragoons</e2> and some of the battles and campaigns the mercenary regiment has fought [SEP],0
173,[CLS] The <e1>hull</e1> of the <e2>boat</e2> is carved from a single piece of wood [SEP],2
174,"[CLS] A <e1>metal cube</e1>, one meter on each side, is enclosed in a thermally insulating <e2>jacket</e2> [SEP]",11
175,"[CLS] Voltage <e1>surges</e1> or spikes are caused by <e2>lightning</e2>, short circuits, power company equipment problems, and inductive spikes, among many other causes [SEP]",7
176,[CLS] This is a tattoo <e1>design</e1> an <e2>artist</e2> drew up [SEP],16
177,"[CLS] The recovery is weak and fragile, and the economic and social <e1>damage</e1> caused by the <e2>crisis</e2> is long-lasting [SEP]",7
178,[CLS] The cutaneous <e1>mycoses</e1> are caused by a homogeneous group of keratinophilic <e2>fungi</e2> termed the dermatophytes [SEP],7
179,"[CLS] Recovery from the global economic <e1>crisis</e1> triggered by the <e2>collapse</e2> of Lehman Brothers was achieved with cooperation from Brazil, Russia, India and China [SEP]",7
180,[CLS] The <e1>microphone</e1> converts sound into an electrical <e2>signal</e2> [SEP],8
181,[CLS] The trapped <e1>mass</e1> takes part in the <e2>movement</e2> and therefore contributes to the inertia of the system [SEP],0
182,"[CLS] Baird's scanning <e1>disk</e1> produced an <e2>image</e2> of 30 lines resolution, just enough to discern a human face, from a double spiral of lenses [SEP]",15
183,[CLS] Several authors have inserted <e1>implants</e1> into <e2>bone</e2> that have been subject to higher radiation doses [SEP],9
184,[CLS] The Sabah Wildlife Department has implanted <e1>transmitters</e1> into three <e2>orangutans</e2> [SEP],9
185,"[CLS] The <e1>hygrometer</e1> was manufactured in the <e2>spring</e2> of 1995, and it was calibrated for the first time in June 1995 [SEP]",17
186,"[CLS] Next up was the climb, a slow steady rock strewn <e1>menage</e1> of eirie <e2>shadows</e2> reflecting off of tall trees and red rocks [SEP]",6
187,[CLS] <e1>Goatfish</e1> use a pair of large chin <e2>barbels</e2> to probe the sea bottom to detect buried prey [SEP],1
188,[CLS] Olympics have already poured one <e1>billion</e1> into the <e2>economy</e2> [SEP],9
189,[CLS] We removed the sharp <e1>items</e1> into the <e2>plastic bag</e2> [SEP],9
190,[CLS] Barrymore is singing while painting the flowers on the <e1>wall</e1> in the <e2>shop</e2> [SEP],2
191,[CLS] My two <e1>friends</e1> have moved into my <e2>apartment</e2> last weekend [SEP],9
192,[CLS] I've been a <e1>closet</e1> <e2>writer</e2> for a long time [SEP],0
193,[CLS] The Commission submitted to the Council and the European Parliament a <e1>report</e1> on the <e2>application</e2> and conditions of implementation of the Agreement [SEP],13
194,[CLS] <e1>Swelling</e1> of the resin is caused by the <e2>expansion</e2> of the structure as a result of water (or other liquid) molecules penetrating the matrix [SEP],7
195,"[CLS] There were <e1>setbacks</e1> and technical problems that ensued from the location <e2>design</e2>, flooding, and moisture that plagued the winery and bumped up the investment cost beyond the initial budgetary estimates [SEP]",7
196,"[CLS] An Israeli woman mistakenly threw out a <e1>mattress</e1> with <e2>money</e2> inside, setting off a frantic search through tons of garbage at a number of landfill sites [SEP]",12
197,[CLS] Lauren also explores <e1>bisexuality</e1> in this new <e2>book</e2> [SEP],14
198,"[CLS] The <e1>researchers</e1> studied the efficiencies of assessment through <e2>exams</e2>, particularly if the marking is routine or automated, are counterbalanced by its limitation [SEP]",3
199,[CLS] Plastic water bottles leak <e1>toxic materials</e1> into the <e2>water</e2> [SEP],9
200,[CLS] A basic <e1>data entry</e1> has been added to the <e2>database</e2> [SEP],9
201,[CLS] Prevention of CAE viral infection is important in <e1>goat</e1> <e2>herd</e2> management because there is no treatment that eliminates CAE virus or vaccine to prevent this disease [SEP],5
202,"[CLS] We find evidence that Ernst suffered a thrombotic cardiovascular event, i.e., a myocardial <e1>infraction</e1> triggered by a blood <e2>clot</e2> [SEP]",7
203,[CLS] I will leave it up to Wes to tell you about the <e1>mask</e1> of <e2>raccoons</e2> we encountered on the trip [SEP],6
204,[CLS] Some <e1>content</e1> from the <e2>encyclopedia</e2> became a part of Microsoft's Encarta digital encyclopedia [SEP],17
205,[CLS] <e1>Fire</e1> was venting from the first floor of a multi-storeyed <e2>building</e2> in South Mumbai's Nariman point area on Monday [SEP],0
206,"[CLS] The <e1>water</e1> evaporated from the <e2>paintings</e2>, leaving only the colored salt behind [SEP]",17
207,[CLS] The <e1>memory</e1> is stored in the same <e2>neurons</e2> that responded to the odor [SEP],11
208,[CLS] The Perrault <e1>version</e1> is the source of the most familiar Cinderella <e2>tale</e2> [SEP],18
209,[CLS] <e1>Strawberry</e1> <e2>jam</e2> is the perfect way to use a glut of strawberries and is so easy to make with this Strawberry Jam recipe [SEP],18
210,"[CLS] This <e1>website</e1> is dedicated to providing event <e2>details</e2>, guest book, class photos, rsvp, payment collection and trip planning information [SEP]",1
211,[CLS] It's important you choose the right one as <e1>chain</e1> <e2>saws</e2> are quick to start malfunctioning if the chain saw you choose isn't up to the task at hand [SEP],2
212,[CLS] The <e1>rod</e1> in the hand priming <e2>tool</e2> is quite long and the handle bottoms out before the primer is completely seated [SEP],2
213,"[CLS] The charcuterie was well portioned offering lots of variety, well textured, with a nice <e1>accompaniment</e1> of <e2>condiments</e2> and composed salads [SEP]",0
214,"[CLS] The <e1>hands</e1> of the <e2>clock</e2> are stainless steel tubing: the hour hand is 14.5 ft, the minute hand 17.5 ft and the second hand 21 ft long [SEP]",2
215,[CLS] The <e1>speaker</e1> opens the poem with a <e2>question</e2> addressed to the beloved [SEP],15
216,"[CLS] When his pullets got ready to start laying, he placed the fake <e1>egg</e1> in a <e2>nest box</e2>, thus giving them the idea that the boxes were ""the place"" to lay their eggs [SEP]",9
217,[CLS] The <e1>robbers</e1> ran away from the <e2>store</e2> without any money [SEP],17
218,"[CLS] This is a short <e1>film</e1> with 12 minutes duration on the <e2>life</e2> of a live statue - a mimo - on the streets of Florence, Italy [SEP]",13
219,[CLS] A <e1>skulk</e1> of <e2>thieves</e2> gathered for their monthly summit [SEP],6
220,"[CLS] Picture books invite students to engage in critical <e1>discussion</e1> of complex <e2>issues</e2> of race, class, and gender [SEP]",13
221,[CLS] The <e1>protesters</e1> carefully chose a private <e2>road</e2> in order not to cause inconvenience to the public [SEP],0
222,"[CLS] The breakdown of the linear relation of J,1 D at peakeffect region indicates that the <e1>peakeffect</e1> originates from an addition pinning <e2>effect</e2> [SEP]",7
223,[CLS] This set of buttons comes with the colorful printed paper <e1>insert</e1> placed inside of the gum <e2>machine</e2> [SEP],11
224,"[CLS] When a <e1>bottle</e1> full of <e2>honey</e2> was weighed, its weight was 1 kilogram [SEP]",12
225,[CLS] The gist of <e1>trespass</e1> is direct physical <e2>interference</e2> with another's exclusive possession of land [SEP],0
226,"[CLS] The Milky Way, the <e1>galaxy</e1> of billions of <e2>stars</e2> that contains the solar system, has been devouring a much smaller galaxy for hundreds of millions of years, but until now the ""dwarf"" galaxy had been mistaken for a portion of the Milky Way itself [SEP]",6
